development_name,building_number,address,interruptions,planned,reported_datetime,restoration_hours,buildings,units,population
CASTLE HILL,10,"2275 RANDALL AVENUE BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,2020-01-26 04:28:00,2,1,142,340
CLINTON,3,"1738 LEXINGTON AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:33:00,19,1,139,314
CYPRESS HILLS,15,"515 FOUNTAIN AVENUE BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,2020-01-25 12:17:00,2,1,49,97
EAST RIVER,4,"430 EAST 105TH STREET NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,2020-01-24 20:04:00,27,1,80,152
ELLIOT,3,"443 WEST 25TH STREET NEW YORK, NY 10001",Elevator NO SERVICE,Unplanned,2020-01-25 18:02:00,5,1,76,142
FOREST,1,"1000 TRINITY AVENUE BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 11:45:00,16,1,108,221
FOREST,4,"730 EAST 166TH STREET BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 16:45:00,4,1,72,175
GOMPERS,2,"60 PITT STREET NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 13:07:00,7,1,117,290
GOWANUS,6,"413 BALTIC STREET BROOKLYN, NY 11217",Elevator NO SERVICE,Unplanned,2020-01-25 16:28:00,4,1,29,59
GRANT,6,"1315 AMSTERDAM AVENUE NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 08:41:00,36,1,226,507
